id,link,price,currency,date,customer,zipcode,location,lots,num_of_lots
373200385414000003,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0373200385414000003,325000.0,rub,2014-05-01,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 852,124460,Москва,"31.62.11.159, 45.31.21.112",2
303100019114000069,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0303100019114000069,51862.0,rub,2014-05-01,"федеральное государственное казенное учреждение  ""Санаторий ""Дагестан"" Федеральной службы безопасности Российской Федерации""",367000,Дагестан Респ,33.10.92.110,1
305300002714000011,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0305300002714000011,310866.74,rub,2014-05-01,"Бюджетное учреждение Республики Калмыкия ""Станция скорой медицинской помощи""",358000,Калмыкия Респ,"24.42.13.142, 24.41.31.122, 24.42.13.715, 24.42.13.734, 24.42.13.737, 24.42.13.737, 24.42.13.694, 24.42.13.694, 24.41.60.160, 24.42.12.164",10
343200020014000122,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0343200020014000122,41011.84,rub,2014-05-01,"Государственное казенное учреждение ""Территориальный государственный экологический фонд Курганской области""",640000,Курганская обл,"36.63.21.120, 28.75.23.130, 25.24.27.190, 28.75.23.130, 28.75.23.130, 28.75.23.130, 21.12.14.124, 25.24.27.190, 30.01.12.111, 25.24.27.170",10
101300013114000002,https://zakupki.gov.ru/epz/order/notice/ok44/view/common-info.html?regNumber=0101300013114000002,300000.0,rub,2014-05-01,Администрация муниципального района Краснокамский район Республики Башкортостан,452930,Башкортостан Респ,74.20.51.000,1
851200000614003569,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0851200000614003569,236247.5,rub,2014-05-01,"государственное казенное учреждение Новосибирской области ""Управление контрактной системы""",630005,Новосибирская обл,"24.66.42.373, 24.41.54.186, 24.41.54.243, 24.41.54.192, 24.41.54.162, 24.41.54.263, 24.41.54.111, 24.41.54.111, 24.41.54.115, 24.41.54.163",10
851200000614003587,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0851200000614003587,375146.0,rub,2014-05-01,"государственное казенное учреждение Новосибирской области ""Управление контрактной системы""",630005,Новосибирская обл,"85.14.16.110, 85.14.16.110, 85.14.16.110",3
851200000614003585,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0851200000614003585,388000.0,rub,2014-05-01,"государственное казенное учреждение Новосибирской области ""Управление контрактной системы""",630005,Новосибирская обл,"17.53.10.189, 17.53.10.189, 17.40.12.211, 17.40.11.121, 17.40.11.121, 17.40.24.292, 17.40.24.292, 36.15.12.129, 36.15.12.129, 36.15.12.129",10
851200000614003577,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0851200000614003577,97131.0,rub,2014-05-01,"государственное казенное учреждение Новосибирской области ""Управление контрактной системы""",630005,Новосибирская обл,24.42.13.574,1
851200000614003582,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0851200000614003582,101700.0,rub,2014-05-01,"государственное казенное учреждение Новосибирской области ""Управление контрактной системы""",630005,Новосибирская обл,"17.40.25.113, 17.40.25.113",2
851200000614003584,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0851200000614003584,160868.2,rub,2014-05-01,"государственное казенное учреждение Новосибирской области ""Управление контрактной системы""",630005,Новосибирская обл,"33.10.15.616, 33.10.15.163, 33.10.15.163, 33.10.15.163, 33.10.15.163, 33.10.15.163, 33.10.15.163, 33.10.15.163, 33.10.15.163, 33.10.15.163",10
348100068614000047,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0348100068614000047,298460.25,rub,2014-05-01,"федеральное государственное казенное образовательное учреждение высшего профессионального образования ""Голицынский пограничный институт Федеральной службы безопасности Российской Федерации""",143043,Московская обл,30.02.16.123,1
